table_schema,table_name,column_name,data_type
access,assistant_events,account_id,string
access,assistant_events,workspace_id,string
access,assistant_events,event_id,string
access,assistant_events,event_time,timestamp
access,assistant_events,event_date,date
access,assistant_events,user_agent,string
access,assistant_events,initiated_by,string
access,audit,account_id,string
access,audit,workspace_id,string
access,audit,version,string
access,audit,event_time,timestamp
access,audit,event_date,date
access,audit,source_ip_address,string
access,audit,user_agent,string
access,audit,session_id,string
access,audit,user_identity,"struct<email:string,subject_name:string>"
access,audit,service_name,string
access,audit,action_name,string
access,audit,request_id,string
access,audit,request_params,"map<string,string>"
access,audit,response,"struct<status_code:int,error_message:string,result:string>"
access,audit,audit_level,string
access,audit,event_id,string
access,audit,identity_metadata,"struct<run_by:string,run_as:string,acting_resource:string,run_by_display_name:string,run_as_display_name:string>"
access,clean_room_events,account_id,string
access,clean_room_events,metastore_id,string
access,clean_room_events,event_id,string
access,clean_room_events,clean_room_name,string
access,clean_room_events,central_clean_room_id,string
access,clean_room_events,initiator_global_metastore_id,string
access,clean_room_events,event_type,string
access,clean_room_events,clean_room_created_metadata,"struct<collaborators:array<struct<collaborator_global_metastore_id:string,collaborator_alias:string>>,egress_network_policy:struct<internet_access:struct<restriction_mode:string,allowed_internet_destinations:array<struct<destination:string,type:string,protocol:string>>>>,compliance_profile:struct<is_enabled:boolean,compliance_standards:array<string>>>"
access,clean_room_events,clean_room_deleted_metadata,struct<central_clean_room_id:string>
access,clean_room_events,run_notebook_started_metadata,"struct<notebook_name:string,notebook_checksum:string,run_id:string,notebook_etag:string,notebook_update_time:timestamp>"
access,clean_room_events,run_notebook_completed_metadata,"struct<notebook_name:string,run_id:string,state:string,duration_in_seconds:int,output_schema:struct<name:string,owner_global_metastore_id:string,action:string,expire_time:timestamp,assets_added:array<struct<name:string,data_object_type:string>>>>"
access,clean_room_events,clean_room_assets_updated_metadata,"struct<added_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>,updated_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>,removed_assets:array<struct<data_object_type:string,catalog:string,name:string,notebook_metadata:struct<etag:string,checksum:string,runner_collaborator_aliases:array<string>>>>>"
access,clean_room_events,event_time,timestamp
access,clean_room_events,output_schema_deleted_metadata,"struct<name:string,owner_global_metastore_id:string,action:string,expire_time:timestamp>"
access,clean_room_events,initiator_collaborator_alias,string
access,clean_room_events,asset_review_created_metadata,"struct<asset_name:string,data_object_type:string,review_state:string,review_sub_reason:string,auto_approval_rule_id:string,notebook_metadata:struct<etag:string>>"
access,column_lineage,account_id,string
access,column_lineage,metastore_id,string
access,column_lineage,workspace_id,string
access,column_lineage,entity_type,string
access,column_lineage,entity_id,string
access,column_lineage,entity_run_id,string
access,column_lineage,source_table_full_name,string
access,column_lineage,source_table_catalog,string
access,column_lineage,source_table_schema,string
access,column_lineage,source_table_name,string
access,column_lineage,source_path,string
access,column_lineage,source_type,string
access,column_lineage,source_column_name,string
access,column_lineage,target_table_full_name,string
access,column_lineage,target_table_catalog,string
access,column_lineage,target_table_schema,string
access,column_lineage,target_table_name,string
access,column_lineage,target_path,string
access,column_lineage,target_type,string
access,column_lineage,target_column_name,string
access,column_lineage,created_by,string
access,column_lineage,event_time,timestamp
access,column_lineage,event_date,date
access,column_lineage,record_id,string
access,column_lineage,event_id,string
access,column_lineage,statement_id,string
access,column_lineage,entity_metadata,"struct<job_info:struct<job_id:string,job_run_id:string>,dashboard_id:string,legacy_dashboard_id:string,notebook_id:string,sql_query_id:string,dlt_pipeline_info:struct<dlt_pipeline_id:string,dlt_update_id:string>,genie_space_id:string,alert_id:string>"
access,column_lineage,direct_access,boolean
access,inbound_network,account_id,string
access,inbound_network,workspace_id,string
access,inbound_network,event_id,string
access,inbound_network,request_path,string
access,inbound_network,source,struct<ip:string>
access,inbound_network,authenticated_as,string
access,inbound_network,event_time,timestamp
access,inbound_network,policy_outcome,string
access,inbound_network,rule_label,string
access,outbound_network,account_id,string
access,outbound_network,workspace_id,string
access,outbound_network,destination_type,string
access,outbound_network,destination,string
access,outbound_network,dns_event,"struct<domain_name:string,rcode:int,rdata:array<string>>"
access,outbound_network,storage_event,"struct<hostname:string,path:string,rejection_reason:string,rdata:array<string>>"
access,outbound_network,event_time,timestamp
access,outbound_network,access_type,string
access,outbound_network,event_id,string
access,outbound_network,network_source_type,string
access,table_lineage,account_id,string
access,table_lineage,metastore_id,string
access,table_lineage,workspace_id,string
access,table_lineage,entity_type,string
access,table_lineage,entity_id,string
access,table_lineage,entity_run_id,string
access,table_lineage,source_table_full_name,string
access,table_lineage,source_table_catalog,string
access,table_lineage,source_table_schema,string
access,table_lineage,source_table_name,string
access,table_lineage,source_path,string
access,table_lineage,source_type,string
access,table_lineage,target_table_full_name,string
access,table_lineage,target_table_catalog,string
access,table_lineage,target_table_schema,string
access,table_lineage,target_table_name,string
access,table_lineage,target_path,string
access,table_lineage,target_type,string
access,table_lineage,created_by,string
access,table_lineage,event_time,timestamp
access,table_lineage,event_date,date
access,table_lineage,record_id,string
access,table_lineage,event_id,string
access,table_lineage,statement_id,string
access,table_lineage,entity_metadata,"struct<job_info:struct<job_id:string,job_run_id:string>,dashboard_id:string,legacy_dashboard_id:string,notebook_id:string,sql_query_id:string,dlt_pipeline_info:struct<dlt_pipeline_id:string,dlt_update_id:string>,genie_space_id:string,alert_id:string>"
access,table_lineage,direct_access,boolean
access,workspaces_latest,account_id,string
access,workspaces_latest,workspace_id,string
access,workspaces_latest,workspace_name,string
access,workspaces_latest,workspace_url,string
access,workspaces_latest,create_time,timestamp
access,workspaces_latest,status,string
ai_gateway,external_model_spend,record_id,string
ai_gateway,external_model_spend,account_id,string
ai_gateway,external_model_spend,workspace_id,string
ai_gateway,external_model_spend,usage_date,date
ai_gateway,external_model_spend,usage_start_time,timestamp
ai_gateway,external_model_spend,usage_end_time,timestamp
ai_gateway,external_model_spend,ingestion_date,date
ai_gateway,external_model_spend,usage_metadata,"struct<provider:string,model:string,endpoint_id:string,endpoint_name:string,destination_id:string,destination_name:string>"
ai_gateway,external_model_spend,custom_tags,"struct<endpoint_tags:map<string,string>,request_tags:map<string,string>>"
ai_gateway,external_model_spend,usage_unit,string
ai_gateway,external_model_spend,usage_quantity,"decimal(38,18)"
ai_gateway,external_model_spend,pricing_metadata,"struct<service_tier:string,long_context:boolean>"
ai_gateway,external_model_spend,identity_metadata,"struct<run_by:string,run_as:string>"
ai_gateway,usage,account_id,string
ai_gateway,usage,workspace_id,string
ai_gateway,usage,request_id,string
ai_gateway,usage,schema_version,int
ai_gateway,usage,endpoint_id,string
ai_gateway,usage,endpoint_name,string
ai_gateway,usage,endpoint_tags,"map<string,string>"
ai_gateway,usage,endpoint_metadata,"struct<creator:string,creation_time:timestamp,last_updated_time:timestamp,destinations:array<struct<name:string,traffic_percent:double,type:string>>,inference_table:string,fallbacks:array<struct<name:string,traffic_percent:double,type:string>>>"
ai_gateway,usage,event_time,timestamp
ai_gateway,usage,latency_ms,bigint
ai_gateway,usage,time_to_first_byte_ms,bigint
ai_gateway,usage,destination_type,string
ai_gateway,usage,destination_name,string
ai_gateway,usage,destination_id,string
ai_gateway,usage,destination_model,string
ai_gateway,usage,requester,string
ai_gateway,usage,requester_type,string
ai_gateway,usage,ip_address,string
ai_gateway,usage,url,string
ai_gateway,usage,user_agent,string
ai_gateway,usage,api_type,string
ai_gateway,usage,request_tags,"map<string,string>"
ai_gateway,usage,input_tokens,bigint
ai_gateway,usage,output_tokens,bigint
ai_gateway,usage,total_tokens,bigint
ai_gateway,usage,token_details,"struct<cache_read_input_tokens:bigint,cache_creation_input_tokens:bigint,output_reasoning_tokens:bigint>"
ai_gateway,usage,response_content_type,string
ai_gateway,usage,status_code,int
